,Image,InferTime,Obj1,ConfObj1,Obj2,ConfObj2,Obj3,ConfObj3
58,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-43-21.jpg,8.76043,car,0.6047,,,,
59,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-27-21.jpg,8.75767,,,,,,
60,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-27-31.jpg,8.816862,car,0.9232,,,,
61,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-22-56.jpg,9.252388,car,0.6954,,,,
62,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-17-07.jpg,8.91928,car,0.7765,,,,
63,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-48-05.jpg,9.301301,,,,,,
64,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-19-15.jpg,9.314196,car,0.8882,,,,
65,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-43-38.jpg,9.428052,,,,,,
66,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-20-10.jpg,8.945289,,,,,,
67,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-30-34.jpg,8.85352,,,,,,
68,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-36-10.jpg,8.929897,truck,0.7226,,,,
69,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-51-58.jpg,9.224548,,,,,,
70,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-52-25.jpg,9.099827,,,,,,
71,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-40-35.jpg,9.251937,,,,,,
72,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-21-15.jpg,9.411688,,,,,,
73,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-46-39.jpg,9.622314,car,0.6855,,,,
74,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-07-35.jpg,8.935225,,,,,,
75,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-40-08.jpg,8.851866,,,,,,
76,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-10-08.jpg,9.145601,tvmonitor,0.8962,,,,
77,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-39-37.jpg,9.248821,car,0.643,,,,
78,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-30-20.jpg,9.110517,,,,,,
79,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-13-52.jpg,9.367718,truck,0.9582,,,,
80,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-01-26.jpg,9.553039,,,,,,
81,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-16-29.jpg,9.384433,,,,,,
82,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-03-13.jpg,8.94875,truck,0.8971,,,,
83,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-48-40.jpg,9.092902,,,,,,
84,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-16-13.jpg,9.475396,truck,0.5308,,,,
85,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-14-58.jpg,9.201295,,,,,,
86,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-50-16.jpg,9.363788,truck,0.7112,,,,
87,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-35-38.jpg,9.506796,,,,,,
88,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-44-39.jpg,9.493019,,,,,,
89,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-52-50.jpg,9.044419,truck,0.5245,,,,
90,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-16-59.jpg,9.039619,car,0.959,,,,
91,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-39-22.jpg,9.467235,,,,,,
92,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-36-04.jpg,9.277128,truck,0.868,,,,
93,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-44-36.jpg,9.344369,,,,,,
94,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-25-40.jpg,9.555094,,,,,,
95,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-56-04.jpg,9.54863,person,0.8764,,,,
96,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-51-36.jpg,9.204677,,,,,,
97,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-27-13.jpg,9.021319,,,,,,
98,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-16-22.jpg,9.37514,truck,0.5556,,,,
99,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-50-10.jpg,9.239993,,,,,,
100,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-04-44.jpg,9.304053,car,0.9141,,,,
101,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-50-15.jpg,9.528521,,,,,,
102,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-06-02.jpg,9.651251,,,,,,
103,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-17-01.jpg,9.194551,,,,,,
104,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-15-04.jpg,8.980908,car,0.5821,,,,
105,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-10-40.jpg,9.503555,,,,,,
106,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-18-25.jpg,9.289599,car,0.7394,,,,
107,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-55-49.jpg,9.342481,car,0.8329,,,,
108,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-32-15.jpg,9.458487,,,,,,
109,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-45-58.jpg,9.716522,car,0.9261,,,,
110,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-10-02.jpg,9.136492,,,,,,
111,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-24-52.jpg,9.042086,car,0.6807,,,,
112,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-22-24.jpg,9.359122,truck,0.7853,,,,
113,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-03-26.jpg,9.319453,,,,,,
114,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-33-53.jpg,9.364248,car,0.7337,,,,
115,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-30-02.jpg,9.449901,,,,,,
116,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-23-57.jpg,9.684315,car,0.5591,,,,
117,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-47-20.jpg,9.124766,truck,0.688,,,,
118,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-44-53.jpg,9.314224,car,0.6553,,,,
119,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-49-05.jpg,9.428035,,,,,,
120,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-18-24.jpg,9.260489,,,,,,
121,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-14-06.jpg,9.534035,truck,0.7877,,,,
122,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-13-04.jpg,9.747699,,,,,,
123,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-57-18.jpg,9.619781,truck,0.6918,,,,
124,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-52-52.jpg,9.03809,car,0.5861,,,,
125,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-11-08.jpg,9.230241,,,,,,
126,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-39-29.jpg,9.51905,truck,0.7637,,,,
127,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-31-48.jpg,9.304461,,,,,,
128,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-54-16.jpg,9.521644,car,0.748,,,,
129,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-25-25.jpg,9.647106,,,,,,
130,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-04-10.jpg,9.558732,car,0.9393,,,,
131,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-23-02.jpg,9.787899,,,,,,
132,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-49-07.jpg,9.525691,car,0.9641,car,0.9404,,
133,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-12-36.jpg,9.503958,truck,0.7484,,,,
134,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-15-20.jpg,9.514999,,,,,,
135,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-52-52.jpg,9.745015,,,,,,
136,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-06-10.jpg,9.649592,,,,,,
137,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-21-32.jpg,9.161659,car,0.5762,,,,
138,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-26-47.jpg,9.425555,,,,,,
139,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-51-43.jpg,9.424004,,,,,,
140,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-34-12.jpg,9.47965,,,,,,
141,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-22-45.jpg,9.566563,car,0.9168,,,,
142,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-54-22.jpg,9.773144,car,0.8928,,,,
143,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-21-34.jpg,9.386998,,,,,,
144,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-09-40.jpg,9.097996,car,0.792,,,,
145,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-50-19.jpg,9.453043,,,,,,
146,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-28-24.jpg,9.424756,car,0.5777,,,,
147,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-48-28.jpg,9.408756,,,,,,
148,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-12-56.jpg,9.607988,,,,,,
149,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-32-59.jpg,9.63256,car,0.8569,car,0.7163,,
150,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-09-13.jpg,9.303504,car,0.837,,,,
151,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-21-27.jpg,9.23534,car,0.9261,,,,
152,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-05-22.jpg,9.697351,car,0.8728,,,,
153,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-32-51.jpg,9.397269,car,0.8665,,,,
154,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-01-11.jpg,9.459784,car,0.7173,,,,
155,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-46-48.jpg,9.775728,,,,,,
156,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-34-31.jpg,9.475999,truck,0.505,,,,
157,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-42-49.jpg,9.142858,,,,,,
158,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-45-24.jpg,9.266964,car,0.8781,,,,
159,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-24-38.jpg,9.375013,car,0.8751,,,,
160,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-51-24.jpg,9.31704,,,,,,
161,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-43-24.jpg,9.520645,truck,0.552,,,,
162,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-40-24.jpg,9.691919,car,0.9555,,,,
163,/home/pi/Documents/yolo-object-detection/images/2020-12-22/11-11-19.jpg,9.302691,,,,,,
164,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-54-10.jpg,9.148622,,,,,,
165,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-57-18.jpg,9.293405,,,,,,
166,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-33-48.jpg,9.576875,car,0.8847,,,,
167,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-39-52.jpg,9.38744,,,,,,
168,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-19-42.jpg,9.5991,car,0.8099,,,,
169,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-59-11.jpg,9.774859,,,,,,
170,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-07-31.jpg,9.19335,tvmonitor,0.522,,,,
171,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-25-26.jpg,8.957216,,,,,,
172,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-27-07.jpg,9.336409,,,,,,
173,/home/pi/Documents/yolo-object-detection/images/2020-12-22/16-58-33.jpg,9.293323,,,,,,
174,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-21-57.jpg,9.475964,car,0.8131,,,,
175,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-41-21.jpg,9.543664,,,,,,
176,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-59-43.jpg,9.633599,,,,,,
177,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-28-00.jpg,9.001108,person,0.9918,,,,
178,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-45-11.jpg,8.916152,truck,0.7276,,,,
179,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-29-15.jpg,9.298916,person,0.7077,,,,
180,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-38-42.jpg,9.407062,,,,,,
181,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-40-00.jpg,9.411693,car,0.8169,,,,
182,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-43-23.jpg,9.529277,,,,,,
183,/home/pi/Documents/yolo-object-detection/images/2020-12-22/09-45-45.jpg,9.621165,,,,,,
184,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-37-56.jpg,9.15641,car,0.8382,car,0.6562,,
185,/home/pi/Documents/yolo-object-detection/images/2020-12-22/14-59-57.jpg,9.078626,,,,,,
186,/home/pi/Documents/yolo-object-detection/images/2020-12-22/08-41-13.jpg,9.350451,car,0.8494,,,,
187,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-12-23.jpg,9.392644,,,,,,
188,/home/pi/Documents/yolo-object-detection/images/2020-12-22/15-20-48.jpg,9.370235,,,,,,
189,/home/pi/Documents/yolo-object-detection/images/2020-12-22/12-00-06.jpg,9.596987,,,,,,
190,/home/pi/Documents/yolo-object-detection/images/2020-12-22/13-42-52.jpg,9.720558,car,0.9557,,,,
191,/home/pi/Documents/yolo-object-detection/images/2020-12-22/10-20-10.jpg,9.207525,,,,,,
